id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5709298,Central Boston Beacon Hill 2brm,2006852,Jay,,Beacon Hill,42.35984,-71.06914,Entire home/apt,180,2,397,2022-11-28,4.23,13,335,47,Exempt: This listing is a unit that has contracts with hospitals
5718801,"Heart of South End, Convenient, Comfy Studio #42",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,75,1,145,2022-11-12,1.59,54,308,6,STR-441252
5718921,"Charming South End Brownstone, 2BR with patio",22348222,Maverick,,South End,42.34455,-71.07628,Entire home/apt,225,29,144,2022-11-27,1.57,54,365,3,STR-415648
5738018,Sunny Two-Bedroom in Boston,7302835,Samuel,,Jamaica Plain,42.32448,-71.10664,Entire home/apt,95,91,0,,,1,0,0,
5768819,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,85,1,133,2022-11-19,1.50,54,355,8,STR-415605
5769127,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,75,1,271,2022-12-16,2.96,54,288,46,STR-415604
5775139,Large room located in Allston,29963974,Nesli,,Allston,42.35211,-71.13178,Private room,70,91,0,,,1,0,0,
5781926,City Sanctuary with ocean view and terrace garden,29573894,Amy,,South Boston,42.33286,-71.04506,Entire home/apt,200,3,55,2022-11-10,0.85,1,332,17,STR-398153
5782221,"""La Gemma"" - a gem in the North End",18601802,Gina,,North End,42.36726,-71.05424,Entire home/apt,300,3,257,2022-10-11,2.84,1,4,22,STR-388064
5806428,Close to Airport and Subway,15646805,Meghan,,East Boston,42.37939,-71.02961,Entire home/apt,125,91,31,2019-05-23,0.33,1,90,0,
5813177,Sunny 1BR for Summer,30162455,Patlapa,,Fenway,42.34306,-71.0872,Entire home/apt,62,91,0,,,1,0,0,
5856633,Condo overlooking Boston Harbour,30408736,Kate,,South Boston,42.33284,-71.04685,Entire home/apt,350,91,1,2016-05-13,0.01,1,0,0,
5870922,The Nantucket Room near Harvard Square,26956083,Todd,,Allston,42.3605,-71.12633,Private room,53,3,299,2022-12-05,3.20,4,145,48,STR-383892
5903001,Boston Back Bay/Copley Square,30658962,Marlo,,Back Bay,42.35147,-71.07835,Entire home/apt,300,3,69,2022-11-13,0.74,1,179,16,STR-404614
5919529,Great location! 3 BD single fam. Kid-friendly.,24196977,Jenny,,Back Bay,42.35009,-71.07023,Entire home/apt,568,91,15,2016-07-15,0.16,2,80,0,
5927267,"Large room, wood floor, 2 windows",26098645,Manuela,,South Boston,42.33034,-71.05802,Private room,61,5,176,2022-11-09,1.89,4,177,20,STR-445765
5932402,South End Condo,2221632,Tad,,South End,42.34459,-71.06999,Private room,100,91,0,,,1,0,0,
